Year,Country,Player,Par,Major
1934,United States,Horton Smith,284,agusta_masters 
1935,United States,Gene Sarazen,282,agusta_masters 
1936,United States,Horton Smith,285,agusta_masters 
1937,United States,Byron Nelson,283,agusta_masters 
1938,United States,Henry Picard,285,agusta_masters 
1939,United States,Ralph Guldahl,279,agusta_masters 
1940,United States,Jimmy Demaret,280,agusta_masters 
1941,United States,Craig Wood,280,agusta_masters 
1942,United States,Byron   ,280,agusta_masters 
1946,United States,Herman Keiser,282,agusta_masters 
1947,United States,Jimmy Demaret,281,agusta_masters 
1948,United States,Claude Harmon,279,agusta_masters 
1949,United States,Sam Snead,282,agusta_masters 
1950,United States,Jimmy Demaret,283,agusta_masters 
1951,United States,Ben Hogan,280,agusta_masters 
1952,United States,Sam Snead,286,agusta_masters 
1953,United States,Ben Hogan,274,agusta_masters 
1954,United States,Sam Snead,289,agusta_masters 
1955,United States,Cary Middlecoff,279,agusta_masters 
1956,United States,"Jack Burke, Jr.",289,agusta_masters 
1957,United States,Doug Ford,283,agusta_masters 
1958,United States,Arnold Palmer,284,agusta_masters 
1959,United States,"Art Wall, Jr.",284,agusta_masters 
1960,United States,Arnold Palmer,282,agusta_masters 
1961,South Africa,Gary Player,280,agusta_masters 
1962,United States,Arnold Palmer,280,agusta_masters 
1963,United States,Jack Nicklaus,286,agusta_masters 
1964,United States,Arnold Palmer,276,agusta_masters 
1965,United States,Jack Nicklaus,271,agusta_masters 
1966,United States,Jack Nicklaus,288,agusta_masters 
1967,United States,Gay Brewer,280,agusta_masters 
1968,United States,Bob Goalby,277,agusta_masters 
1969,United States,George Archer,281,agusta_masters 
1970,United States,Billy Casper,279,agusta_masters 
1971,United States,Charles Coody,279,agusta_masters 
1972,United States,Jack Nicklaus,286,agusta_masters 
1973,United States,Tommy Aaron,283,agusta_masters 
1974,South Africa,Gary Player,278,agusta_masters 
1975,United States,Jack Nicklaus,276,agusta_masters 
1976,United States,Raymond Floyd,271,agusta_masters 
1977,United States,Tom Watson,276,agusta_masters 
1978,South Africa,Gary Player,277,agusta_masters 
1979,United States,Fuzzy Zoeller,280,agusta_masters 
